number_of_nodes,number_of_nodes,number_of_nodes,number_of_nodes,timestamp,number_of_packets,simulation_time_ms,message_period_ms,path_loss_model,messages_created,packets_sent,potential_receivers,packets_sensed,packets_received,useful_receptions,duplicate_packets,collisions,packets_dropped_delay_or_hop_limit,mean_delay_ms,tx_air_utilization_rate,collision_rate,node_reach,usefulness,no_link_rate,total_directed_links,available_directed_links,unavailable_directed_links,transmissions_per_message,successful_decode_rate,average_nodes_reached_per_message
52,52,52,52,1785782624.222504,11080,1800000,100000,6,665,11080,565080,542224,63346,16315,47031,117,46523,488420.3020071655,0.014444810940170945,0.0002157779810557998,0.48105558012678756,0.25755375240741324,0.0,2450,2450,0,16.661654135338345,0.11682625630735637,24.533834586466167
52,52,52,52,1785782724.0368981,11133,1800000,100000,6,664,11133,567783,543669,63447,16410,47037,235,46360,483936.6260155778,0.014556181880341888,0.00043224829813728573,0.48458540042523035,0.25864107049978724,0.0008163265306122449,2450,2448,2,16.76656626506024,0.11670152243368667,24.71385542168675
52,52,52,52,1785782837.3771698,10802,1800000,100000,6,665,10802,550902,528018,63102,16070,47032,254,46353,487907.99655001855,0.014478222222222227,0.0004810442068262824,0.4738316379183252,0.25466704700326454,0.0,2450,2450,0,16.24360902255639,0.11950728952422077,24.165413533834588
52,52,52,52,1785782947.111865,10960,1800000,100000,6,664,10960,558960,536566,63014,16169,46845,0,46406,483116.96294229804,0.014355714188034193,0.0,0.47746869832270256,0.2565937728123909,0.0,2450,2450,0,16.50602409638554,0.11743942031362405,24.35090361445783
52,52,52,52,1785783063.4953291,11188,1800000,100000,6,666,11188,570588,547205,64022,16460,47562,151,47027,480425.2518831899,0.014634141538461544,0.00027594777094507543,0.48460224930813167,0.25709912217675174,0.0,2450,2450,0,16.7987987987988,0.11699819994334847,24.714714714714713
52,52,52,52,1785783218.7068212,10965,1800000,100000,6,665,10965,559215,536147,63731,16364,47367,121,46743,483848.5752994853,0.01456731897435898,0.0002256843738750753,0.48250036856848,0.25676672263105865,0.0,2450,2450,0,16.48872180451128,0.11886851926803657,24.60751879699248
52,52,52,52,1785783344.1194298,11008,1800000,100000,6,665,11008,561408,538008,63525,16314,47211,338,46843,482740.3906908571,0.014578456068376074,0.0006282434461941087,0.4810260946483857,0.25681227863046047,0.0016326530612244899,2450,2446,4,16.553383458646618,0.11807445242449927,24.532330827067668
52,52,52,52,1785783477.1002262,10785,1800000,100000,6,664,10785,550035,527531,63031,15876,47155,0,46554,486410.8396582469,0.014377988376068383,0.0,0.46881644223954644,0.2518760609858641,0.0,2450,2450,0,16.242469879518072,0.11948302564209497,23.90963855421687
52,52,52,52,1785783598.807591,10733,1800000,100000,6,664,10733,547383,525696,62902,16072,46830,73,46368,486531.60242958553,0.014333440000000008,0.00013886352568785002,0.47460429955114575,0.2555085688849321,0.0,2450,2450,0,16.164156626506024,0.11965470538105673,24.204819277108435
52,52,52,52,1785783713.719264,11085,1800000,100000,6,665,11085,565335,542658,63325,16170,47155,84,46602,489859.58408833004,0.014444810940170945,0.00015479362692524573,0.47678018575851394,0.2553493880773786,0.0,2450,2450,0,16.669172932330827,0.11669412410763316,24.31578947368421
52,52,52,52,1785783836.258799,11109,1800000,100000,6,664,11109,566559,543138,63230,16461,46769,60,46342,477389.7298731824,0.014444810940170945,0.00011046916253327883,0.48609142452161586,0.26033528388423216,0.0,2450,2450,0,16.73042168674699,0.11641608578298701,24.79066265060241
52,52,52,52,1785783955.607153,11118,1800000,100000,6,665,11118,567018,544395,63196,16218,46978,58,46480,486981.3407061063,0.01440026256410257,0.00010654028784246733,0.4781954887218045,0.25663016646623205,0.0,2450,2450,0,16.718796992481202,0.11608482811194078,24.38796992481203
52,52,52,52,1785784066.4429498,11007,1800000,100000,6,664,11007,561357,537455,63604,16218,47386,184,46728,489718.9703727696,0.01456731897435898,0.000342354243611093,0.4789156626506024,0.25498396327275014,0.0008163265306122449,2450,2448,2,16.576807228915662,0.11834293103608674,24.424698795180724
52,52,52,52,1785784184.793321,11207,1800000,100000,6,665,11207,571557,548500,62402,16023,46379,61,45791,490702.77018207737,0.014222069059829066,0.00011121239744758432,0.4724458204334365,0.2567706163263998,0.0,2450,2450,0,16.852631578947367,0.11376845943482224,24.094736842105263
52,52,52,52,1785784302.536797,11186,1800000,100000,6,665,11186,570486,546696,63262,16020,47242,132,46697,486540.8456085055,0.014489359316239323,0.00024145045875587163,0.47235736399823086,0.2532325882836458,0.0,2450,2450,0,16.821052631578947,0.11571696152889357,24.090225563909776
52,52,52,52,1785784419.429657,11003,1800000,100000,6,665,11003,561153,538382,62302,16071,46231,145,45793,481615.65291854256,0.01423320615384616,0.0002693254975092035,0.4738611233967271,0.2579531957240538,0.0,2450,2450,0,16.545864661654136,0.11572080790219584,24.166917293233084
52,52,52,52,1785784599.923572,10934,1800000,100000,6,665,10934,557634,534332,64263,16366,47897,255,47396,483410.88255436014,0.014723238290598297,0.00047723138423302365,0.4825593395252838,0.25467220640181754,0.0,2450,2450,0,16.442105263157895,0.12026792331359529,24.610526315789475
52,52,52,52,1785784710.845723,10805,1800000,100000,6,664,10805,551055,528528,63358,16120,47238,0,46769,484221.0448657557,0.014444810940170945,0.0,0.47602173399480274,0.25442722308153665,0.0,2450,2450,0,16.272590361445783,0.1198763357854267,24.27710843373494
77,77,77,77,1785785049.06094,20407,1800000,100000,6,956,20407,1550932,1508440,101251,25897,75354,98,74494,599963.939023406,0.010326544992784997,6.496778128397549e-05,0.3564330543933054,0.2557703133796209,0.0,5550,5550,0,21.34623430962343,0.06712298798758982,27.088912133891213
77,77,77,77,1785785399.498181,20197,1800000,100000,6,948,20197,1534972,1486960,101125,25887,75238,282,74203,598473.567220304,0.010379193073593078,0.00018964867918437616,0.3593021319120586,0.2559901112484549,0.002882882882882883,5550,5534,16,21.304852320675106,0.06800788185290794,27.306962025316455
77,77,77,77,1785785706.507207,20523,1800000,100000,6,955,20523,1559748,1514102,101315,26340,74975,441,74183,595480.923732855,0.010394235382395386,0.00029126175118981414,0.36290989253237804,0.2599812466071164,0.00036036036036036037,5550,5548,2,21.490052356020943,0.06691425016280277,27.581151832460733
